Times (us),interval (us),strain (raw),sensorValue0 (raw)
67992,67992,2731483,434
80492,12500,2731105,430
92992,12500,2730077,428
105492,12500,2730439,430
117992,12500,2730977,430
130492,12500,2730340,427
142996,12504,2729880,425
155500,12504,2730631,427
168000,12500,2730953,427
180504,12504,2730087,424
193008,12504,2729998,422
205508,12500,2730674,424
218008,12500,2730650,424
230512,12504,2730765,421
243012,12500,2731202,419
255512,12500,2730692,421
268012,12500,2730284,421
280512,12500,2730826,418
293012,12500,2731018,416
305516,12504,2730389,418
318020,12504,2730345,418
330524,12504,2731088,415
343024,12500,2731073,413
355528,12504,2730122,415
368028,12500,2730201,415
380528,12500,2730458,412
393028,12500,2729747,410
405528,12500,2730407,412
418028,12500,2730892,412
430528,12500,2730079,409
443028,12500,2729907,408
455528,12500,2730631,409
468028,12500,2730529,410
480532,12504,2729809,407
493032,12500,2729973,405
505532,12500,2730504,407
518032,12500,2730064,407
530532,12500,2729993,404
543032,12500,2730177,402
555536,12504,2729794,404
568040,12504,2729623,404
580544,12504,2730107,401
593044,12500,2730229,400
605544,12500,2729881,401
618044,12500,2729732,402
630544,12500,2729859,399
643048,12504,2729743,397
655548,12500,2729617,399
668048,12500,2729638,399
680548,12500,2729389,396
693052,12504,2729533,395
705552,12500,2729690,396
718056,12504,2729457,397
730556,12500,2729294,394
743060,12504,2729626,392
755560,12500,2729447,394
768060,12500,2729067,394
780564,12504,2729470,391
793064,12500,2729947,390
805564,12500,2729516,391
818068,12504,2728770,392
830568,12500,2729162,389
843068,12500,2728264,387
855572,12504,2727642,389
868072,12500,2728289,389
880572,12500,2728364,387
893072,12500,2727601,385
905572,12500,2727662,387
918072,12500,2728221,387
930572,12500,2727901,384
943072,12500,2727450,383
955572,12500,2727907,384
968072,12500,2728231,385
980576,12504,2727683,382
993080,12504,2727897,380
1005580,12500,2728173,382
1018080,12500,2727408,383
1030584,12504,2726981,380
1043084,12500,2727642,378
1055584,12500,2727731,380
1068084,12500,2727048,380
1080584,12500,2727075,378
1093084,12500,2727726,376
1105584,12500,2727388,378
1118084,12500,2726792,378
1130584,12500,2727236,376
1143084,12500,2726995,374
1155588,12504,2726971,375
1168092,12504,2727404,376
1180592,12500,2727161,374
1193096,12504,2726717,372
1205596,12500,2727003,373
1218096,12500,2727063,374
1230600,12504,2726632,372
1243104,12504,2726562,370
1255604,12500,2726795,371
1268108,12504,2726709,372
1280608,12500,2726251,370
1293112,12504,2726791,368
1305612,12500,2726474,369
1318112,12500,2726128,370
1330616,12504,2726595,368
1343116,12500,2726756,366
1355616,12500,2726063,367
1368116,12500,2725897,368
1380620,12504,2726641,366
1393120,12500,2726519,364
1405620,12500,2725916,365
1418124,12504,2726430,366
1430628,12504,2727138,364
1443128,12500,2726545,362
1455628,12500,2726676,363
1468132,12504,2726760,364
1480632,12500,2725864,362
1493132,12500,2726002,360
1505632,12500,2726988,361
1518136,12504,2726592,362
1530636,12500,2725798,360
1543136,12500,2726103,358
1555636,12500,2726703,360
1568140,12504,2726233,361
