Times (us),interval (us),strain (raw),sensorValue0 (raw)
1580644,12504,2725726,359
1593144,12500,2726232,357
1605644,12500,2725860,358
1618144,12500,2725779,359
1630648,12504,2726667,357
1643148,12500,2726449,355
1655648,12500,2725591,356
1668152,12504,2725793,357
1680652,12500,2726605,355
1693152,12500,2726316,353
1705652,12500,2725496,354
1718152,12500,2726023,356
1730652,12500,2726684,354
1743152,12500,2725917,352
1755652,12500,2726178,353
1768156,12504,2726249,354
1780656,12500,2725735,352
1793156,12500,2746603,350
1805656,12500,2848156,351
1818156,12500,2951115,353
1830656,12500,2982064,351
1843156,12500,2945003,348
1855656,12500,2832970,350
1868156,12500,2699420,351
1880660,12504,2677089,349
1893160,12500,2764973,347
1905668,12508,2679423,348
1918168,12500,2698929,350
1930668,12500,2775878,348
1943168,12500,2739658,346
1955668,12500,2675009,347
1968168,12500,2724135,348
1980672,12504,2773537,346
1993176,12504,2715259,344
2005676,12500,2683043,345
2018180,12504,2745856,347
2030684,12504,2760501,345
2043184,12500,2697721,343
2055684,12500,2759187,344
2068184,12500,2740554,345
2080688,12504,2690188,343
2093188,12500,2721241,341
2105688,12500,2760718,343
2118192,12504,2720048,344
2130692,12500,2693355,342
2143192,12500,2739583,340
2155692,12500,2752571,341
2168192,12500,2704741,343
2180692,12500,2705235,341
2193192,12500,2750953,339
2205700,12508,2737942,340
2218200,12500,2721054,341
2230700,12500,2754039,340
2243200,12500,2722316,337
2255700,12500,2698826,339
2268200,12500,2735555,340
2280704,12504,2748443,338
2293208,12504,2709314,336
2305708,12500,2706971,337
2318208,12500,2745445,339
2330708,12500,2737645,337
2343208,12500,2702520,335
2355708,12500,2719296,336
2368212,12504,2724717,338
2380712,12500,2702489,336
2393212,12500,2731399,334
2405712,12500,2745113,335
2418212,12500,2713772,336
2430712,12500,2708681,335
2443212,12500,2740206,333
2455716,12504,2736881,334
2468216,12500,2707539,336
2480720,12504,2718191,334
2493224,12504,2743319,332
2505732,12508,2726374,333
2518232,12500,2728297,335
2530732,12500,2741492,333
2543232,12500,2717019,331
2555732,12500,2710647,332
2568232,12500,2735778,334
2580732,12500,2735586,332
2593232,12500,2711553,330
2605732,12500,2718065,331
2618236,12504,2739384,333
2630736,12500,2727322,331
2643240,12504,2709986,329
2655740,12500,2726137,330
2668240,12500,2719817,332
2680740,12500,2712991,330
2693244,12504,2732946,328
2705748,12504,2734037,329
2718252,12504,2714397,331
2730756,12504,2718473,329
2743256,12500,2736286,327
2755756,12500,2727643,328
2768260,12504,2712817,330
2780764,12504,2724917,328
2793264,12500,2735965,326
2805764,12500,2721155,327
2818264,12500,2730344,329
2830768,12504,2732379,328
2843268,12500,2716559,325
2855768,12500,2718549,326
2868272,12504,2733040,328
2880776,12504,2727490,327
2893276,12500,2715198,324
2905776,12500,2723729,325
2918280,12504,2733164,327
2930780,12500,2722578,326
2943284,12504,2716209,323
2955788,12504,2728163,324
2968288,12500,2730795,326
2980792,12504,2719247,325
2993292,12500,2731088,322
3005792,12500,2727076,323
3018292,12500,2716908,325
3030792,12500,2723523,324
3043296,12504,2731460,321
3055796,12500,2722654,322
3068300,12504,2717303,324
3080800,12500,2726971,323
3093300,12500,2729280,321
3105804,12504,2719358,321
3118304,12500,2719809,324
3130808,12504,2726094,322
3143308,12500,2717834,320
3155812,12504,2723285,321
3168316,12504,2729777,323
3180816,12500,2722847,322
3193320,12504,2718174,320
3205820,12500,2725861,320
3218320,12500,2728364,322
3230824,12504,2720258,321
3243324,12500,2720037,319
3255828,12504,2727946,320
3268328,12500,2726090,322
3280832,12504,2722299,321
3293332,12500,2728290,318
3305832,12500,2723332,319
3318332,12500,2718987,321
3330836,12504,2725024,320
3343340,12504,2727533,318
3355840,12500,2721005,318
3368344,12504,2720450,320
3380844,12500,2726802,320
3393344,12500,2725608,317
3405848,12504,2719908,318
3418348,12500,2722837,320
3430848,12500,2723206,319
3443348,12500,2719898,316
3455848,12500,2724586,317
3468352,12504,2726288,319
3480856,12504,2721403,318
3493360,12504,2721159,316
3505864,12504,2725844,316
3518364,12500,2724700,318
3530864,12500,2720241,318
3543364,12500,2722514,315
3555868,12504,2726224,316
3568368,12500,2723132,318
3580872,12504,2724068,317
3593376,12504,2725718,315
3605876,12500,2721548,315
3618380,12504,2721259,317
3630880,12500,2725426,317
3643380,12500,2724565,314
3655884,12504,2720524,315
3668384,12500,2722407,317
3680888,12504,2725960,316
3693388,12500,2723285,314
3705888,12500,2720607,314
3718388,12500,2723837,316
3730888,12500,2721853,316
3743388,12500,2721365,313
3755888,12500,2724804,313
3768388,12500,2724150,316
3780888,12500,2721201,315
3793392,12504,2722438,313
3805892,12500,2724666,313
3818396,12504,2722741,315
3830896,12500,2721128,315
3843396,12500,2723453,312
3855900,12504,2724351,312
3868400,12500,2721985,315
3880904,12504,2721624,314
3893404,12500,2723464,312
3905904,12500,2721433,312
3918404,12500,2722420,314
3930908,12504,2724113,314
3943408,12500,2722770,311
3955908,12500,2721525,311
3968408,12500,2723259,314
3980908,12500,2723990,313
3993408,12500,2721885,311
4005912,12504,2721588,311
4018412,12500,2723533,313
4030912,12500,2723160,313
4043412,12500,2722482,310
4055912,12500,2723895,310
4068412,12500,2722360,313
4080916,12504,2721242,312
4093416,12500,2723010,310
4105920,12504,2723709,310
4118420,12500,2721874,312
4130924,12504,2721575,312
4143424,12500,2723345,309
4155928,12504,2723313,309
4168428,12500,2721932,312
4180928,12500,2722626,312
4193428,12500,2752493,309
4205928,12500,2857226,309
4218428,12500,2926605,312
4230928,12500,2930316,311
4243428,12500,2949516,309
4255928,12500,2987050,309
4268428,12500,2999402,311
4280928,12500,2997005,311
4293428,12500,2997027,308
4305928,12500,2967404,308
4318428,12500,2887025,311
4330928,12500,2779906,311
4343428,12500,2698694,308
4355932,12504,2756026,308
4368432,12500,2739540,311
4380932,12500,2687873,310
4393432,12500,2714034,308
4405932,12500,2757464,308
4418432,12500,2723772,310
4430932,12500,2690494,310
4443432,12500,2729314,308
4455932,12500,2751407,308
4468432,12500,2710194,310
4480936,12504,2699716,310
4493440,12504,2740278,307
4505944,12504,2702274,307
4518444,12500,2712713,310
4530944,12500,2744669,310
4543444,12500,2726209,307
4555944,12500,2701265,307
4568444,12500,2725333,309
4580944,12500,2741774,309
4593444,12500,2714097,307
4605948,12504,2706375,307
4618448,12500,2734857,309
4630952,12504,2733982,309
4643452,12500,2706928,306
4655952,12500,2739494,306
4668452,12500,2724004,309
4680952,12500,2705240,309
4693452,12500,2725535,306
4705956,12504,2738066,306
4718456,12500,2714916,308
4730956,12500,2709091,308
4743456,12500,2733158,306
4755960,12504,2732201,306
4768460,12500,2708953,308
4780960,12500,2715975,308
4793460,12500,2736724,306
4805964,12504,2707722,305
4818464,12500,2723942,308
4830968,12504,2735788,308
4843468,12500,2716835,305
4855972,12504,2710116,305
4868472,12500,2729971,307
4880972,12500,2731372,308
4893472,12500,2711985,305
4905972,12500,2715916,305
4918472,12500,2733630,307
4930972,12500,2725264,307
4943472,12500,2710525,305
4955972,12500,2733399,305
4968476,12504,2718891,307
4980980,12504,2712424,307
4993480,12500,2728133,305
5005980,12500,2730023,304
5018480,12500,2714530,307
5030984,12504,2716813,307
5043488,12504,2730962,305
5055992,12504,2724923,304
