Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
1516,494,489,493
1520,492,487,493
1524,495,489,496
1528,497,491,496
1532,494,490,493
1536,492,487,492
1540,494,488,495
1544,497,491,497
1548,495,490,494
1552,492,487,492
1556,493,487,494
1560,496,490,496
1564,495,490,494
1568,492,487,492
1572,493,487,494
1576,496,490,496
1580,495,490,495
1584,492,487,491
1588,491,486,492
1592,494,488,495
1596,495,490,494
1600,492,487,491
1604,491,485,491
1608,494,488,495
1612,495,490,494
1616,492,487,491
1620,490,485,491
1624,493,487,494
1628,495,490,495
1632,493,488,492
1636,490,485,491
1640,492,486,494
1644,495,489,495
1648,493,488,492
1652,491,485,491
1656,493,487,494
1660,496,490,496
1664,495,490,494
1668,492,487,491
1672,492,486,493
1676,495,489,496
1680,495,490,495
1684,492,487,492
1688,492,487,493
1692,496,490,496
1696,496,491,495
1700,493,488,492
1704,493,487,494
1708,496,490,496
1712,497,492,496
1716,494,490,493
1720,492,487,493
1724,495,489,496
1728,497,492,496
1732,494,490,493
1736,492,487,493
1740,494,489,496
1744,497,491,497
1748,494,490,493
1752,492,487,492
1756,493,487,494
1760,496,490,496
1764,495,490,494
1768,492,487,491
1772,493,487,493
1776,496,490,496
1780,495,490,494
1784,491,487,491
1788,492,486,493
1792,495,489,495
1796,495,490,494
1800,492,487,491
1804,491,485,491
1808,494,488,495
1812,495,490,494
1816,492,487,491
1820,490,485,491
1824,493,487,494
1828,495,490,494
1832,492,487,491
1836,490,485,491
1840,492,486,494
1844,495,490,495
1848,493,489,493
1852,491,486,491
1856,492,486,494
1860,495,490,496
1864,494,489,493
1868,491,486,491
1872,493,487,494
1876,496,490,496
1880,496,491,495
1884,492,488,492
1888,492,487,494
1892,495,490,496
1896,496,491,495
1900,493,488,493
1904,492,487,493
1908,496,490,497
1912,496,491,496
1916,493,488,493
1920,492,487,493
1924,495,489,496
1928,497,492,497
1932,494,490,494
1936,492,487,492
1940,494,488,496
1944,497,491,496
1948,495,490,494
1952,492,487,492
1956,494,488,495
1960,496,491,496
1964,495,490,494
1968,492,487,491
1972,492,487,494
1976,495,490,496
1980,495,490,494
1984,491,487,491
1988,492,486,493
1992,495,489,495
1996,495,490,494
2000,491,487,491
