Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
1516,29,32,42
1520,144,108,85
1524,292,234,182
1528,453,382,311
1532,556,497,430
1536,602,566,516
1540,562,561,541
1544,470,496,507
1548,313,368,411
1552,182,238,295
1556,67,126,184
1560,23,61,107
1564,14,32,61
1568,67,57,60
1572,165,132,107
1576,299,245,196
1580,390,342,289
1584,485,436,383
1588,524,494,453
1592,501,497,478
1596,418,440,448
1600,302,342,374
