Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
1516,341,344,339
1520,207,249,277
1524,235,239,251
1528,195,208,221
1532,228,218,217
1536,214,213,212
1540,238,229,222
1544,227,227,223
1548,245,237,230
1552,243,239,233
1556,250,245,239
1560,249,247,242
1564,252,247,243
1568,251,247,243
1572,249,247,244
1576,244,244,242
1580,241,240,238
1584,244,239,236
1588,252,247,241
1592,272,263,254
1596,303,288,274
1600,333,315,298
