Times (us),interval (us),strain (raw),sensorValue0 (raw)
2814652,12500,4236089,321
2827152,12500,4237104,321
2839652,12500,4238770,322
2852152,12500,4237802,321
2864652,12500,4236463,320
2877152,12500,4236461,320
2889652,12500,4237951,321
2902152,12500,4239158,320
2914652,12500,4238856,320
2927152,12500,4237318,320
2939652,12500,4236154,320
2952156,12504,4236714,320
2964660,12504,4238474,319
2977160,12500,4238320,319
2989660,12500,4236663,320
3002164,12504,4236306,319
3014668,12504,4237364,318
3027172,12504,4238821,318
3039672,12500,4238901,319
3052172,12500,4237581,318
3064672,12500,4236325,317
3077172,12500,4236617,317
3089672,12500,4239007,318
3102172,12500,4238607,317
3114676,12504,4237006,316
3127180,12504,4236147,316
3139680,12500,4237073,317
3152184,12504,4238534,317
3164684,12500,4238894,316
3177184,12500,4237849,316
3189688,12504,4236637,316
3202188,12500,4236592,316
3214692,12504,4238703,315
3227192,12500,4238609,315
3239692,12500,4237355,316
3252192,12500,4236514,315
3264692,12500,4237112,314
3277192,12500,4238230,314
3289692,12500,4238683,315
3302196,12504,4238050,315
3314700,12504,4236941,314
3327204,12504,4237448,314
3339704,12500,4238336,314
3352204,12500,4238578,314
3364704,12500,4237700,313
3377208,12504,4236672,313
3389708,12500,4236695,314
3402208,12500,4237718,313
3414708,12500,4238609,312
3427208,12500,4238214,312
3439708,12500,4237125,313
3452208,12500,4237070,313
3464708,12500,4238170,312
3477208,12500,4238675,312
3489708,12500,4237987,313
3502212,12504,4236797,312
3514716,12504,4236532,311
3527216,12500,4237258,311
3539716,12500,4238371,312
3552216,12500,4238517,312
3564716,12500,4237561,311
3577216,12500,4237025,311
3589716,12500,4238039,312
3602216,12500,4238722,311
3614716,12500,4238289,310
3627216,12500,4237291,310
3639716,12500,4236699,311
3652216,12500,4237049,311
3664716,12500,4238178,310
3677220,12504,4238550,310
3689720,12500,4236866,310
3702220,12500,4236620,310
3714720,12500,4237435,309
3727224,12504,4238438,309
3739724,12500,4238434,310
3752228,12504,4237449,310
3764728,12500,4236648,309
3777228,12500,4236929,309
3789728,12500,4237881,310
3802228,12500,4238345,310
3814732,12504,4237099,309
3827236,12504,4236591,309
3839740,12504,4237346,309
3852240,12500,4238385,309
3864740,12500,4238433,308
3877240,12500,4237696,308
3889744,12504,4236678,309
3902248,12504,4236510,309
3914748,12500,4237554,308
3927248,12500,4238319,308
3939752,12504,4237338,308
3952256,12504,4236638,309
3964760,12504,4236946,308
3977260,12500,4237829,307
3989764,12504,4238540,308
4002264,12500,4237943,308
4014764,12500,4236904,307
4027264,12500,4236634,307
4039764,12500,4237327,308
4052264,12500,4238539,308
4064768,12504,4237792,307
4077268,12500,4236815,307
4089772,12504,4236605,307
4102272,12500,4237527,308
4114772,12500,4238344,307
4127272,12500,4238208,306
4139772,12500,4237268,307
4152272,12500,4236516,307
4164776,12504,4238021,306
4177280,12504,4238553,306
4189784,12504,4237930,307
4202284,12500,4236736,307
4214788,12504,4236275,306
4227288,12500,4236955,306
4239788,12500,4238049,306
4252288,12500,4238481,307
4264792,12504,4237660,306
4277292,12500,4236507,305
4289796,12504,4237471,306
4302296,12500,4238426,306
4314796,12500,4238292,305
4327296,12500,4237117,305
4339796,12500,4236287,306
4352296,12500,4236720,306
4364796,12500,4237819,305
4377296,12500,4238556,305
4389796,12500,4237993,305
4402296,12500,4236756,306
4414796,12500,4236952,305
4427300,12504,4238126,304
4439800,12500,4238408,305
4452300,12500,4237595,305
4464800,12500,4236494,305
4477304,12504,4236495,304
4489804,12500,4237334,305
4502304,12500,4238245,305
4514804,12500,4238190,304
4527308,12504,4236393,304
4539812,12504,4236761,304
4552312,12500,4237892,305
4564816,12504,4238330,304
4577320,12504,4237734,304
4589820,12500,4236703,304
4602320,12500,4236336,305
4614824,12504,4237113,304
4627324,12500,4238101,304
4639828,12504,4238207,304
4652328,12500,4236574,305
4664828,12500,4236335,304
4677328,12500,4237104,304
4689828,12500,4237949,304
4702328,12500,4238024,305
4714828,12500,4237157,304
4727328,12500,4236418,303
4739828,12500,4236715,304
4752328,12500,4237853,304
4764832,12504,4237728,304
4777332,12500,4236771,303
4789832,12500,4236441,304
4802332,12500,4237126,304
4814836,12504,4238149,304
4827336,12500,4238229,303
4839836,12500,4237447,304
4852336,12500,4236470,304
4864836,12500,4236453,304
4877336,12500,4237486,303
4889840,12504,4237875,304
4902344,12504,4236805,304
4914844,12500,4236221,304
4927348,12504,4236739,303
4939848,12500,4237848,303
4952348,12500,4238282,304
4964848,12500,4237620,303
4977352,12504,4236570,303
4989852,12500,4236377,303
5002352,12500,4236973,304
5014852,12500,4237624,303
5027352,12500,4236595,302
5039852,12500,4235700,303
5052356,12504,4236563,303
5064856,12500,4239365,303
