Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,264,282,294
8,265,269,275
12,267,264,265
16,268,264,262
20,268,266,263
24,267,265,262
28,266,262,259
32,265,262,259
36,264,262,259
40,263,261,258
44,263,259,256
48,263,259,256
52,264,261,258
56,265,262,259
60,266,262,258
64,268,263,259
68,267,266,262
72,268,266,262
76,267,263,260
80,265,261,258
84,264,262,259
88,263,261,258
92,263,260,257
96,263,259,256
100,264,260,257
104,265,263,259
108,266,263,259
112,267,263,259
116,267,264,260
120,268,265,262
124,266,264,261
128,266,262,259
132,265,261,258
136,264,262,259
140,264,261,258
144,263,260,256
148,264,260,256
152,265,262,258
156,265,263,259
160,266,262,258
164,267,262,258
168,267,264,260
172,267,264,261
176,267,263,260
180,266,262,258
184,271,266,261
188,270,268,264
192,264,263,261
196,264,260,258
200,264,261,258
204,265,262,259
208,265,262,258
212,266,261,257
216,266,263,259
220,266,264,260
224,266,264,260
228,266,261,258
232,266,262,258
236,265,263,260
240,265,262,259
244,264,260,257
248,264,260,257
252,264,262,258
256,265,262,259
260,265,261,258
264,266,261,257
268,266,263,260
272,266,264,261
276,266,263,259
280,266,262,258
284,265,262,259
288,264,263,259
292,264,261,258
296,264,260,256
300,264,261,257
304,264,262,259
308,265,262,258
312,266,262,258
316,267,263,259
320,267,265,261
324,267,264,260
328,266,262,259
332,271,266,261
336,270,267,263
340,263,263,261
344,263,260,258
348,263,259,256
352,264,261,258
356,264,262,258
360,265,261,257
364,266,262,258
368,268,264,260
372,267,265,261
376,267,263,260
380,266,263,259
384,266,263,260
388,265,263,260
392,264,261,258
396,263,260,256
400,263,260,257
404,263,261,258
408,264,261,257
412,265,261,257
416,266,262,258
420,266,264,260
424,267,264,260
428,266,263,259
432,266,263,259
436,265,264,260
440,265,263,260
444,265,261,258
448,270,264,259
452,270,267,263
456,265,264,262
460,265,261,259
464,265,261,258
468,265,263,259
472,265,263,260
476,265,262,258
480,265,261,258
484,266,263,259
488,265,264,260
492,265,262,259
496,265,261,258
500,266,263,259
504,266,264,260
508,266,262,259
512,265,261,258
516,266,262,258
520,265,263,260
524,265,262,259
528,265,261,257
532,265,261,258
536,265,263,259
540,265,263,259
544,265,261,257
548,265,262,258
552,265,264,260
556,265,263,260
560,265,261,258
564,270,264,259
568,271,267,263
572,271,268,264
576,265,263,261
580,265,262,259
584,265,263,260
588,266,264,260
592,266,262,259
596,266,262,258
600,272,267,261
604,272,269,265
608,266,265,262
612,265,262,259
616,270,265,261
620,270,268,264
624,264,263,261
628,264,260,258
632,269,264,260
636,271,267,263
640,265,264,262
644,266,262,259
648,266,262,259
652,266,264,260
656,266,264,260
660,265,262,259
664,265,262,258
668,265,263,259
672,265,262,259
676,265,261,258
680,264,261,257
684,265,262,258
688,265,263,259
692,265,262,258
696,265,261,257
700,265,262,259
704,265,263,260
708,265,262,258
712,265,261,257
716,271,265,260
720,271,268,264
724,265,264,261
728,265,262,259
732,265,262,258
736,265,263,260
740,266,263,259
744,265,261,258
748,266,262,258
752,266,264,260
