Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
4,270,284,293
8,270,273,278
12,270,269,270
16,270,266,265
20,270,266,263
24,271,268,265
28,270,268,265
32,270,266,263
36,271,266,263
40,271,268,264
44,271,268,265
48,271,267,264
52,271,266,263
56,270,267,264
60,270,268,265
64,270,267,263
68,270,266,262
72,270,267,263
76,270,268,264
80,270,267,264
84,271,266,263
88,271,267,264
92,271,268,265
96,271,268,265
100,270,266,263
104,270,267,263
108,270,268,264
112,270,267,264
116,270,265,262
120,270,266,262
124,270,268,264
128,271,268,265
132,271,267,264
136,271,267,263
140,271,268,265
144,271,269,265
148,270,267,264
152,270,266,263
156,270,267,264
160,269,267,264
164,270,266,263
168,270,266,262
172,271,267,263
176,271,269,265
180,266,265,263
184,265,262,259
188,265,262,259
192,265,263,260
196,264,261,258
200,264,260,257
204,264,260,257
208,264,262,258
212,264,261,258
216,264,260,257
220,265,261,257
224,265,262,259
228,265,263,259
232,265,261,258
236,265,261,257
240,264,262,259
244,264,262,259
248,263,260,257
252,264,260,256
256,264,261,257
260,264,262,258
264,264,261,257
268,265,260,257
272,265,262,258
276,265,262,259
280,265,262,258
284,265,261,257
288,264,262,258
292,264,262,259
296,264,261,258
300,264,260,256
304,264,260,257
308,264,262,258
312,264,262,258
316,265,260,257
320,264,261,257
324,264,262,258
328,264,262,258
332,265,260,257
336,264,260,257
340,264,262,258
344,265,262,258
348,265,261,257
352,265,260,257
356,264,262,258
360,265,263,259
364,264,261,258
368,264,260,257
372,264,261,258
376,264,262,258
380,264,260,257
384,264,260,256
388,264,261,257
392,265,262,259
396,265,262,258
400,265,261,257
404,265,262,258
408,265,263,259
412,265,262,259
416,264,260,257
420,264,260,257
424,264,262,258
428,264,261,258
432,264,260,256
436,264,260,256
440,264,262,258
444,265,263,259
448,265,262,258
452,266,262,258
456,265,263,259
460,265,263,260
464,264,260,257
468,264,259,256
472,263,260,257
476,264,262,258
480,264,260,257
484,264,260,256
488,264,261,257
492,265,263,259
496,265,262,259
500,265,261,257
504,265,262,258
508,264,262,259
512,264,261,258
516,263,259,256
520,263,259,256
524,263,261,257
528,264,261,258
532,264,260,256
536,265,261,257
540,265,263,259
544,265,263,259
548,265,261,258
552,265,261,258
556,265,262,258
560,264,262,259
564,264,260,257
568,263,259,256
572,263,260,257
576,263,261,258
580,263,260,257
584,264,260,256
588,265,262,258
592,266,264,260
596,266,263,259
600,266,262,258
604,266,263,259
608,265,263,260
612,264,261,259
616,263,259,256
620,263,259,256
624,263,261,257
628,264,261,257
632,264,260,256
636,265,261,257
640,265,263,259
644,266,263,260
648,266,262,258
652,265,261,257
656,264,262,258
660,264,262,259
664,263,260,257
668,263,259,256
672,263,260,257
676,264,261,258
680,264,260,257
684,264,261,257
688,265,262,258
692,265,263,259
696,266,262,259
700,265,261,258
704,264,262,258
708,264,262,259
712,264,261,258
716,263,259,256
720,263,260,256
724,264,262,258
728,264,261,258
732,264,260,257
736,265,261,257
740,265,263,259
744,265,262,259
748,265,261,258
752,265,261,257
756,264,262,259
760,264,262,259
764,264,260,257
768,264,259,256
772,264,261,257
776,264,262,258
780,264,261,257
