Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
1516,62,87,119
1520,83,86,100
1524,136,120,113
1528,227,191,163
1532,314,273,233
1536,375,342,302
1540,427,398,363
1544,440,423,399
1548,411,411,403
1552,348,366,375
1556,267,297,321
1560,191,221,253
1564,137,162,191
1568,115,131,152
1572,128,129,137
1576,174,158,150
1580,222,199,180
1584,289,258,230
1588,351,321,288
1592,388,364,335
1596,395,381,362
1600,373,373,366
