Time (ms),Sensor 0 (raw),Sensor 1 (raw),Sensor 2 (raw)
1516,264,260,257
1520,264,259,256
1524,270,265,260
1528,265,264,261
1532,264,261,258
1536,264,260,256
1540,270,264,259
1544,270,267,262
1548,263,263,261
1552,263,259,256
1556,269,262,258
1560,263,263,260
1564,263,261,259
1568,264,259,256
1572,270,263,258
1576,270,268,263
1580,264,264,262
1584,264,261,258
1588,264,259,256
1592,270,265,260
1596,264,264,261
1600,263,260,257
1604,263,258,256
1608,269,265,260
1612,263,263,260
1616,263,260,257
1620,263,259,256
1624,269,264,259
1628,270,268,263
1632,264,263,261
1636,264,260,257
1640,270,264,259
1644,263,264,261
1648,263,262,259
1652,264,259,256
1656,270,264,258
1660,270,268,263
1664,264,264,262
1668,264,260,257
1672,264,259,256
1676,264,262,258
1680,264,262,259
1684,263,259,256
1688,263,258,255
1692,263,261,258
1696,264,261,258
1700,264,259,256
1704,264,259,255
1708,264,261,257
1712,264,262,259
1716,264,261,257
1720,264,259,256
1724,270,264,259
1728,263,263,260
1732,263,261,258
1736,263,259,256
1740,269,264,259
1744,263,263,260
1748,264,261,258
1752,264,259,256
1756,270,264,258
1760,271,268,263
1764,264,264,262
1768,263,260,257
1772,269,263,258
1776,270,267,262
1780,263,263,261
1784,263,259,257
1788,263,259,256
1792,263,261,257
1796,263,262,259
1800,264,260,257
1804,264,259,256
1808,270,265,260
1812,264,264,261
1816,264,261,258
1820,264,259,256
1824,269,265,260
1828,263,263,261
1832,264,260,258
1836,263,259,256
1840,269,263,258
1844,263,263,260
1848,263,261,258
1852,263,259,256
1856,270,264,258
1860,271,268,263
1864,265,264,262
1868,264,260,258
1872,270,264,259
1876,271,268,264
1880,264,264,262
1884,263,260,258
1888,269,262,258
1892,269,266,262
1896,263,263,261
1900,263,259,257
1904,263,258,256
1908,270,265,260
1912,264,264,261
1916,264,261,258
1920,264,260,256
1924,270,265,260
1928,264,264,261
1932,264,261,259
1936,264,259,256
1940,270,264,259
1944,263,264,261
1948,263,261,258
1952,263,258,255
1956,269,263,258
1960,263,263,260
1964,263,261,258
1968,263,259,256
1972,270,263,258
1976,270,268,263
1980,264,264,262
1984,264,260,258
1988,264,260,257
1992,264,262,259
1996,263,261,258
2000,263,259,256
2004,263,258,255
2008,263,261,257
2012,263,261,258
2016,263,259,256
2020,269,262,257
2024,270,266,261
2028,264,264,261
2032,264,261,258
2036,264,259,256
2040,270,265,260
2044,265,264,261
2048,264,262,259
2052,264,259,256
2056,269,263,258
2060,264,263,260
2064,263,261,258
2068,262,258,255
2072,268,262,257
2076,270,267,262
2080,264,263,261
2084,264,260,257
2088,271,264,259
2092,272,268,264
2096,265,265,263
2100,265,261,259
2104,264,260,257
2108,269,265,260
2112,263,263,260
2116,262,259,257
2120,262,258,255
2124,268,264,259
2128,263,263,260
2132,263,260,257
2136,264,259,256
2140,270,264,259
2144,265,264,261
2148,265,262,259
2152,264,260,257
