"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.769729852924170E9,"2026-01-29 15:37:32.924 UTC-08:00"
"PAUSE",1.588028425001539E1,1.769729868804329E9,"2026-01-29 15:37:48.804 UTC-08:00"
