"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.302480417E-1,-4.896318054E-1,6.819369049E0,7.014712830E0,9.795393285E0
6.402260417E-1,-4.540058899E-1,6.789730682E0,6.874005432E0,9.672565056E0
6.502040417E-1,-4.062551880E-1,6.734495544E0,6.766379242E0,9.555226924E0
6.601820417E-1,-3.155438232E-1,6.669231262E0,6.655609589E0,9.427372515E0
6.701600417E-1,-1.736389160E-1,6.618935852E0,6.559060364E0,9.319964332E0
6.801380417E-1,-5.478607178E-2,6.575376434E0,6.478527832E0,9.230920844E0
6.901160417E-1,-1.886077881E-2,6.491401062E0,6.527176666E0,9.205578673E0
7.000940418E-1,6.152206421E-2,6.423442383E0,6.716832275E0,9.294096665E0
7.100720417E-1,2.384541321E-1,6.451883240E0,6.856192474E0,9.417591675E0
7.200500417E-1,3.628454590E-1,6.360573120E0,6.944059753E0,9.423826882E0
7.300280418E-1,4.508624268E-1,6.290668488E0,6.904841309E0,9.351610580E0
7.400060417E-1,4.553530884E-1,6.267616425E0,6.763684845E0,9.232431682E0
7.499840417E-1,4.218228149E-1,6.244264984E0,6.675218811E0,9.150263704E0
7.599620417E-1,4.926255798E-1,6.251599731E0,6.610702972E0,9.111891843E0
7.699400417E-1,6.541397095E-1,6.290069733E0,6.469845886E0,9.047197455E0
7.799170417E-1,6.721023560E-1,6.263574829E0,6.288872223E0,8.901348496E0
7.898950417E-1,5.849835205E-1,6.200256500E0,6.273454285E0,8.839774604E0
7.998730417E-1,4.698728943E-1,6.190377045E0,6.297404480E0,8.843011460E0
8.098510418E-1,2.906954956E-1,6.197412415E0,6.257437592E0,8.811807404E0
8.198290417E-1,1.826202393E-1,6.189478912E0,6.246360626E0,8.795454532E0
8.298070417E-1,2.993774414E-2,6.267766113E0,6.325845337E0,8.905173078E0
8.397850418E-1,7.005432129E-2,6.307433624E0,6.470744019E0,9.036545506E0
8.497630417E-1,1.535806274E-1,6.360573120E0,6.399043121E0,9.023759211E0
8.597410417E-1,2.263293457E-1,6.424190826E0,6.278543701E0,8.985630960E0
8.697190417E-1,1.531315613E-1,6.404132538E0,6.281088409E0,8.971534676E0
8.796970417E-1,9.175918579E-2,6.416556702E0,6.347400513E0,9.026079599E0
8.896750417E-1,1.378633118E-1,6.448440399E0,6.443500671E0,9.117022034E0
8.996530417E-1,2.398013306E-1,6.403982849E0,6.622079315E0,9.215228454E0
9.096310417E-1,3.523672485E-1,6.344406738E0,6.740782471E0,9.263574248E0
9.196090418E-1,4.218228149E-1,6.270610199E0,6.803502045E0,9.262080049E0
9.295860417E-1,4.101470947E-1,6.174210663E0,6.886429596E0,9.258078123E0
9.395640417E-1,3.876937866E-2,6.019282837E0,7.207511902E0,9.390500346E0
9.495420418E-1,-8.652008057E-2,6.125861206E0,7.362439728E0,9.578057214E0
9.595200417E-1,2.028282166E-1,6.400839386E0,7.701035614E0,1.001587908E1
9.694980417E-1,9.086105347E-2,6.235583038E0,8.047415314E0,1.018094518E1
9.794760417E-1,-8.262817383E-2,6.017636261E0,8.206534424E0,1.017673724E1
9.894540417E-1,-2.737806702E-1,6.075266418E0,8.488098907E0,1.044182173E1
9.994320417E-1,-6.212081909E-2,6.237379303E0,8.703800354E0,1.070816979E1
1.009410042E0,3.131488037E-1,6.202651520E0,8.631949768E0,1.063397879E1
