Times (us),interval (us),strain (raw),sensorValue0 (raw)
66608,66608,4566853,430
79108,12500,4568808,429
91608,12500,4572283,428
104112,12504,4577175,426
116612,12500,4583294,426
129112,12500,4590180,425
141612,12500,4597390,424
154112,12500,4604740,423
166612,12500,4612212,422
179112,12500,4619508,422
191612,12500,4631348,421
204112,12500,4636318,419
216612,12500,4640810,419
229112,12500,4645099,418
241612,12500,4649459,417
254112,12500,4653769,416
266612,12500,4657796,415
279112,12500,4660804,415
291612,12500,4662590,414
304112,12500,4663547,413
316616,12504,4665429,412
329116,12500,4666840,412
341620,12504,4667938,411
354120,12500,4668339,410
366620,12500,4667924,409
379124,12504,4666732,409
391624,12500,4665625,408
404124,12500,4665086,407
416624,12500,4665388,406
429124,12500,4667837,406
441628,12504,4668985,405
454132,12504,4669978,404
466632,12500,4670769,403
479132,12500,4671393,403
491636,12504,4671770,402
504136,12500,4672038,401
516636,12500,4672148,400
529136,12500,4671943,400
541636,12500,4671819,399
554136,12500,4669446,398
566636,12500,4666353,397
579136,12500,4663711,397
591640,12504,4662537,396
604144,12504,4662772,395
616644,12500,4664084,394
629144,12500,4665170,394
641644,12500,4665453,393
654148,12504,4664384,392
666648,12500,4659473,391
679152,12504,4657445,391
691652,12500,4656740,390
704152,12500,4657679,389
716656,12504,4660102,388
729156,12500,4662887,388
741656,12500,4664802,388
754156,12500,4665299,387
766656,12500,4664165,386
779160,12504,4661898,386
791660,12500,4657469,385
804160,12500,4657084,384
816660,12500,4658132,383
829160,12500,4660296,383
841660,12500,4662881,382
854164,12504,4664679,381
866668,12504,4665031,381
879168,12500,4664096,381
891668,12500,4661744,380
904168,12500,4659147,379
916672,12504,4657111,378
929172,12500,4658313,378
941672,12500,4660727,377
954172,12500,4663146,376
966676,12504,4664626,376
979176,12500,4664908,376
991676,12500,4663592,375
1004176,12500,4661305,374
1016676,12500,4658991,373
1029176,12500,4657295,373
1041676,12500,4658579,373
1054176,12500,4660848,372
1066676,12500,4663093,371
1079176,12500,4664653,371
1091676,12500,4664613,370
1104176,12500,4663169,369
1116680,12504,4661057,369
1129180,12500,4658727,369
1141680,12500,4657357,368
1154180,12500,4659011,367
1166680,12500,4661112,367
1179180,12500,4663218,367
1191680,12500,4664491,366
1204180,12500,4664318,365
1216684,12504,4662949,365
1229184,12500,4660767,365
1241684,12500,4658910,364
1254188,12504,4657654,363
1266696,12508,4659120,363
1279196,12500,4661206,363
1291696,12500,4663193,362
