Times (us),interval (us),strain (raw),sensorValue0 (raw)
1304196,12500,4664264,361
1316696,12500,4664104,361
1329200,12504,4662865,361
1341700,12500,4660804,360
1354200,12500,4658771,359
1366700,12500,4657564,359
1379200,12500,4657715,359
1391700,12500,4661157,358
1404204,12504,4662992,357
1416708,12504,4664108,357
1429208,12500,4663907,357
1441708,12500,4662505,356
1454208,12500,4660576,355
1466708,12500,4658805,355
1479208,12500,4657877,355
1491708,12500,4658086,354
1504208,12500,4659404,353
1516712,12504,4663280,353
1529216,12504,4664185,353
1541716,12500,4663925,352
1554216,12500,4662519,352
1566716,12500,4660439,351
1579216,12500,4658613,351
1591716,12500,4657707,351
1604216,12500,4658243,350
1616716,12500,4659840,349
1629216,12500,4663535,349
1641716,12500,4664354,349
1654216,12500,4663779,348
1666716,12500,4662227,347
1679220,12504,4660149,347
1691720,12500,4658279,347
1704220,12500,4657331,346
1716720,12500,4658112,346
1729220,12500,4659880,346
1741724,12504,4662075,345
1754228,12504,4664746,345
1766728,12500,4664143,344
1779232,12504,4662218,344
1791732,12500,4659850,344
1804232,12500,4657973,343
1816736,12504,4657291,342
1829240,12504,4658193,342
1841740,12500,4659940,342
1854244,12504,4662246,341
1866744,12500,4664689,341
1879244,12500,4663714,341
1891744,12500,4661734,341
1904248,12504,4659490,340
1916748,12500,4657858,339
1929248,12500,4657556,339
1941748,12500,4658560,339
1954248,12500,4660525,338
1966748,12500,4662687,338
1979252,12504,4664091,338
1991752,12500,4663377,338
2004256,12504,4661465,337
2016756,12500,4659249,336
2029260,12504,4657779,337
2041760,12500,4657588,336
2054260,12500,4658675,336
2066760,12500,4660728,335
2079260,12500,4662795,335
2091764,12504,4664121,335
2104268,12504,4664334,334
2116772,12504,4661192,334
2129272,12500,4659141,334
2141776,12504,4657669,334
2154276,12500,4657612,333
2166780,12504,4658970,332
2179280,12500,4660961,333
2191784,12504,4663061,332
2204288,12504,4664293,332
2216788,12500,4664171,331
2229292,12504,4660887,331
2241792,12500,4658808,331
2254292,12500,4657758,330
2266792,12500,4657868,330
2279292,12500,4659216,330
2291792,12500,4661348,330
2304292,12500,4663226,329
2316796,12504,4664423,329
2329296,12500,4664253,329
2341796,12500,4662779,329
2354300,12504,4658514,328
2366800,12500,4657338,328
2379300,12500,4657705,328
2391800,12500,4659410,328
2404304,12504,4661625,327
2416808,12504,4663603,326
2429308,12500,4664588,327
2441812,12504,4664101,327
2454312,12500,4662405,326
2466820,12508,4657979,325
2479324,12504,4657060,326
2491824,12500,4657730,326
2504328,12504,4659607,325
2516832,12504,4661963,325
2529332,12500,4663972,325
2541836,12504,4664834,325
2554336,12500,4664034,324
2566836,12500,4662051,324
2579336,12500,4659532,324
2591836,12500,4656925,324
2604336,12500,4658078,323
2616840,12504,4660254,323
2629340,12500,4662781,323
2641840,12500,4664569,323
2654340,12500,4664862,322
2666844,12504,4663726,322
2679348,12504,4661423,322
2691848,12500,4658853,322
2704352,12504,-757512,321
2727116,22764,4661109,321
2739616,12500,4663626,321
2752116,12500,4664933,320
2764620,12504,4664687,320
2777124,12504,4663167,320
2789624,12500,4660660,320
2802124,12500,4658234,319
2814624,12500,4656860,319
2827124,12500,4657227,320
2839624,12500,4659065,319
2852124,12500,4663803,319
2864624,12500,4664680,319
2877128,12504,4664150,319
2889628,12500,4662354,318
2902128,12500,4660009,318
2914628,12500,4657966,318
2927128,12500,4656959,318
2939632,12504,4657642,318
2952132,12500,4659578,317
2964632,12500,4661950,317
2977132,12500,4664598,317
2989632,12500,4663795,317
3002136,12504,4661922,316
3014640,12504,4659563,316
3027140,12500,4657813,316
3039640,12500,4657014,316
3052140,12500,4657886,315
3064644,12504,4659992,315
3077148,12504,4662353,316
3089652,12504,4664508,315
3102152,12500,4663495,315
3114652,12500,4661475,315
3127152,12500,4659123,315
3139652,12500,4657423,315
3152152,12500,4657072,314
3164656,12504,4658170,314
3177156,12500,4660315,314
3189656,12500,4662544,314
3202156,12500,4664148,313
3214656,12500,4662932,313
3227156,12500,4660875,314
3239656,12500,4658692,313
3252156,12500,4657185,313
3264656,12500,4657229,313
3277160,12504,4658698,313
3289660,12500,4660849,313
3302160,12500,4663028,312
3314664,12504,4664268,312
3327164,12500,4662615,312
3339664,12500,4660367,312
3352168,12504,4658391,311
3364668,12500,4657402,311
3377168,12500,4657815,312
3389668,12500,4659297,312
3402168,12500,4661519,311
3414668,12500,4663414,311
3427168,12500,4664109,311
3439672,12504,4663545,311
3452172,12500,4660120,310
3464676,12504,4658192,310
3477180,12504,4657343,311
3489684,12504,4657921,310
3502184,12500,4659680,310
3514684,12500,4661602,310
3527188,12504,4663170,310
3539688,12500,4663900,310
3552188,12500,4663386,309
3564688,12500,4661905,309
3577188,12500,4657942,309
3589692,12504,4657259,309
3602192,12500,4658026,309
3614692,12500,4659866,309
3627192,12500,4661892,309
3639692,12500,4663448,309
3652192,12500,4663876,308
3664692,12500,4663208,308
3677192,12500,4661424,309
3689692,12500,4657773,309
3702192,12500,4657312,308
3714692,12500,4658161,308
3727192,12500,4659988,308
3739696,12504,4662303,308
3752196,12500,4664000,308
3764700,12504,4664089,307
3777204,12504,4662765,308
3789708,12504,4660681,308
3802212,12504,4658682,307
3814712,12500,4657619,307
3827212,12500,4659001,307
3839716,12504,4660982,307
3852216,12500,4662546,307
3864716,12500,4663478,307
3877216,12500,4663395,307
3889716,12500,4662400,307
3902220,12504,4660941,306
3914724,12504,4659248,306
3927224,12500,4657654,307
3939724,12500,4658605,307
3952224,12500,4660217,306
3964724,12500,4662105,306
3977228,12504,4663668,306
3989728,12500,4663967,306
4002228,12500,4662936,306
4014728,12500,4661059,306
4027228,12500,4658979,306
4039728,12500,4657489,306
4052228,12500,4658135,305
4064732,12504,4660189,305
4077232,12500,4662611,306
4089732,12500,4664218,306
4102232,12500,4664370,305
4114732,12500,4663097,305
4127232,12500,4660926,305
4139732,12500,4658563,305
4152232,12500,4656913,305
4164732,12500,4656973,305
4177232,12500,4660716,305
4189732,12500,4663126,305
4202232,12500,4664463,304
4214732,12500,4664497,304
4227232,12500,4662928,305
4239736,12504,4660460,305
4252236,12500,4658081,304
4264736,12500,4656787,304
4277236,12500,4656968,304
4289740,12504,4661134,304
4302240,12500,4663562,304
4314740,12500,4664744,304
4327240,12500,4664529,304
4339740,12500,4662779,304
4352244,12504,4660033,304
4364748,12504,4657536,304
4377248,12500,4656299,304
4389752,12504,4656862,304
4402256,12504,4659032,304
4414756,12500,4664282,304
4427256,12500,4665171,304
4439756,12500,4664360,304
4452256,12500,4662003,303
4464760,12504,4659151,303
4477260,12500,4657069,304
4489760,12500,4656268,304
4502260,12500,4657136,303
4514760,12500,4659657,303
4527260,12500,4664655,303
4539760,12500,4665258,303
4552260,12500,4663882,303
4564760,12500,4661286,303
4577264,12504,4658394,303
4589768,12504,4656408,303
4602268,12500,4656277,303
4614768,12500,4657862,302
4627272,12504,4660578,303
4639772,12500,4663327,303
4652272,12500,4664890,302
4664772,12500,4663040,302
4677276,12504,4660273,303
4689776,12500,4657725,303
4702276,12500,4656647,302
4714776,12500,4657114,302
4727276,12500,4658944,302
4739780,12504,4661422,302
4752280,12500,4663604,302
4764780,12500,4664506,302
4777280,12500,4662107,302
4789780,12500,4659832,302
4802280,12500,4657924,302
4814780,12500,4657150,302
4827280,12500,4657667,302
4839780,12500,4659222,302
4852280,12500,4661253,302
4864780,12500,4663260,301
4877284,12504,4664272,302
4889784,12500,4662238,302
4902284,12500,4660079,301
4914784,12500,4658129,301
4927284,12500,4657454,302
4939788,12504,4657818,302
4952288,12500,4659332,301
4964788,12500,4661507,301
4977288,12500,4663195,301
4989792,12504,4663861,302
5002292,12500,4663237,301
5014796,12504,4659738,301
5027296,12500,4658284,301
5039800,12504,4657792,301
5052300,12500,4658480,301
5064800,12500,4659939,301
