Times (us),interval (us),strain (raw),sensorValue0 (raw)
66624,66624,4495726,431
79124,12500,4494931,429
91628,12504,4495046,428
104128,12500,4495690,427
116628,12500,4495418,426
129128,12500,4494929,425
141628,12500,4495103,424
154128,12500,4495509,423
166632,12504,4495401,422
179136,12504,4495013,422
191636,12500,4495580,421
204140,12504,4495305,420
216640,12500,4495221,419
229140,12500,4496306,418
241644,12504,4498306,418
254144,12500,4500098,416
266648,12504,4501627,416
279148,12500,4502772,415
291648,12500,4503171,414
304148,12500,4503180,413
316652,12504,4503933,412
329152,12500,4504432,412
341656,12504,4505161,411
354160,12504,4506118,410
366660,12500,4507303,409
379160,12500,4508663,409
391660,12500,4510125,408
404164,12504,4511359,407
416664,12500,4512830,406
429164,12500,4516270,406
441664,12500,4517702,405
454164,12500,4519437,404
466664,12500,4521624,403
479168,12504,4523730,403
491668,12500,4525602,402
504168,12500,4527355,401
516668,12500,4529015,400
529168,12500,4530737,400
541672,12504,4532200,399
554172,12500,4534309,398
566676,12504,4534792,397
579176,12500,4535178,397
591676,12500,4535306,396
604176,12500,4535248,395
616676,12500,4535294,394
629176,12500,4535624,394
641676,12500,4536316,393
654176,12500,4537468,392
666676,12500,4539867,391
679176,12500,4540892,391
691676,12500,4541848,391
704180,12504,4543294,390
716680,12500,4544813,389
729180,12500,4546155,389
741680,12500,4547010,388
754180,12500,4548113,387
766684,12504,4549505,386
779184,12500,4549929,386
791684,12500,4545125,385
804184,12500,4544881,384
816684,12500,4547006,383
829184,12500,4549222,383
841684,12500,4549698,383
854188,12504,4548532,382
866688,12500,4547243,381
879192,12504,4546551,381
891692,12500,4546746,380
904196,12504,4547017,379
916696,12500,4547075,378
929200,12504,4546857,378
941700,12500,4547021,378
954200,12500,4547709,377
966700,12500,4548514,376
979204,12504,4549043,376
991704,12500,4549352,375
1004204,12500,4549640,374
1016704,12500,4550009,374
1029204,12500,4549916,373
1041704,12500,4549939,373
1054208,12504,4550059,372
1066708,12500,4549968,371
1079208,12500,4549530,371
1091708,12500,4548809,371
1104212,12504,4548109,370
1116712,12500,4547923,369
1129212,12500,4547916,369
1141712,12500,4548067,369
1154216,12504,4547981,368
1166716,12500,4547887,367
1179216,12500,4547807,367
1191716,12500,4547786,367
1204216,12500,4547710,366
1216720,12504,4547501,365
1229224,12504,4547377,365
1241728,12504,4547174,364
1254228,12500,4547012,364
1266728,12500,4545590,363
1279228,12500,4544522,363
1291728,12500,4543030,362
1304228,12500,4541314,362
1316728,12500,4540076,361
1329228,12500,4540177,361
1341732,12504,4541389,360
1354236,12504,4543035,360
1366736,12500,4543526,359
1379236,12500,4542224,359
1391736,12500,4539041,359
1404240,12504,4539453,358
1416740,12500,4541194,357
1429244,12504,4542916,357
1441748,12504,4543580,357
1454252,12504,4542566,356
1466752,12500,4540506,355
1479256,12504,4538944,355
1491756,12500,4539095,355
1504264,12508,4542819,354
1516764,12500,4543467,353
1529264,12500,4542689,353
1541764,12500,4540758,353
1554264,12500,4539001,352
1566764,12500,4538985,351
1579264,12500,4540608,351
1591764,12500,4542529,351
1604268,12504,4543391,350
1616768,12500,4542584,349
1629268,12500,4539459,349
1641768,12500,4539420,349
1654272,12504,4540818,348
1666772,12500,4542600,348
1679272,12500,4543256,347
1691772,12500,4542498,347
1704272,12500,4540651,347
1716772,12500,4539325,346
1729272,12500,4539598,346
1741776,12504,4540912,346
1754276,12500,4543266,345
1766776,12500,4542284,344
1779276,12500,4540511,344
1791780,12504,4539316,344
1804280,12500,4539471,343
1816780,12500,4541068,343
1829280,12500,4542979,343
1841780,12500,4543673,343
1854280,12500,4542546,342
1866780,12500,4539108,341
1879280,12500,4539321,341
1891780,12500,4541107,341
1904284,12504,4543183,340
1916784,12500,4544088,340
1929284,12500,4542887,340
1941788,12504,4540658,340
1954288,12500,4539180,339
1966788,12500,4539406,338
1979288,12500,4541114,338
1991788,12500,4543740,338
2004288,12500,4542681,338
2016788,12500,4540627,337
2029288,12500,4539235,337
2041792,12504,4539626,337
2054292,12500,4541326,336
2066792,12500,4543037,336
2079292,12500,4543599,336
2091792,12500,4542413,336
2104296,12504,4539467,335
2116796,12500,4539769,334
2129300,12504,4541366,334
2141800,12500,4543062,334
2154304,12504,4543397,334
2166808,12504,4542255,333
2179312,12504,4540346,333
2191812,12500,4539286,333
2204312,12500,4539850,332
2216812,12500,4541582,332
2229316,12504,4543557,332
2241816,12500,4542291,332
2254316,12500,4540545,331
2266820,12504,4539241,331
2279320,12500,4539547,330
2291820,12500,4541392,331
2304320,12500,4543114,330
2316824,12504,4543554,329
2329328,12504,4542467,329
2341828,12500,4540654,329
2354328,12500,4539813,329
2366828,12500,4541448,328
2379328,12500,4542965,328
2391828,12500,4543432,328
2404328,12500,4542309,328
2416832,12504,4540442,327
2429332,12500,4539364,327
2441832,12500,4539769,327
2454336,12504,4541536,327
2466840,12504,4543545,326
2479344,12504,4542236,326
2491844,12500,4540356,326
2504348,12504,4539339,326
2516848,12500,4540098,325
2529348,12500,4541927,325
2541852,12504,4543480,325
2554352,12500,4543404,325
2566852,12500,4542063,324
2579352,12500,4540238,324
2591852,12500,4540435,324
2604356,12504,4542292,324
2616856,12500,4543572,323
2629360,12504,4543354,323
2641860,12500,4541778,323
2654364,12504,4540027,323
2666868,12504,4539355,322
2679368,12500,4540129,322
2691868,12500,4541933,322
2704368,12500,4543978,322
2716872,12504,4542601,321
2729372,12500,4540555,321
2741872,12500,4539255,321
2754372,12500,4539593,321
2766872,12500,4541133,320
2779372,12500,4543095,320
2791872,12500,4544016,320
2804376,12504,4543277,320
2816876,12500,4541650,319
2829380,12504,4539515,319
2841880,12500,4540408,319
2854380,12500,4542216,319
2866880,12500,4543422,318
2879384,12504,4543160,318
2891888,12504,4541770,318
2904388,12500,4540674,318
2916888,12500,4540357,318
2929392,12504,4540741,317
2941892,12500,4541881,318
2954392,12500,4543111,317
2966892,12500,4542095,317
2979396,12504,4540868,317
2991896,12500,4540536,317
3004396,12500,4541009,317
3016900,12504,4541927,316
3029400,12500,4542850,316
3041904,12504,4543078,316
3054408,12504,4542489,316
3066908,12500,4540221,315
3079412,12504,4540625,315
3091916,12504,4541670,315
3104420,12504,4542234,315
3116920,12500,4542478,315
3129420,12500,4542582,314
