Times (us),interval (us),strain (raw),sensorValue0 (raw)
66588,66588,5095657,432
79088,12500,5094894,431
91588,12500,5093271,431
104088,12500,5094204,429
116592,12504,5096996,427
129092,12500,5097025,427
141596,12504,5096708,427
154096,12500,5098544,426
166596,12500,5100378,424
179100,12504,5099435,424
191600,12500,5100487,424
204100,12500,5103271,423
216600,12500,5109030,421
229100,12500,5116181,421
241604,12504,5121104,421
254104,12500,5123930,420
266604,12500,5125252,418
279108,12504,5125493,418
291608,12500,5126257,418
326856,22744,5131574,416
339356,12500,5133186,416
351856,12500,5135491,414
364360,12504,5138087,413
376864,12504,5140518,413
389364,12500,5143386,413
401868,12504,5146523,411
414368,12500,5150484,410
426872,12504,5154863,410
439372,12500,5158418,410
451872,12500,5164890,408
464372,12500,5168392,407
476876,12504,5171735,408
489376,12500,5173657,408
501876,12500,5174724,406
514376,12500,5175949,404
526876,12500,5177946,405
539376,12500,5180653,405
551876,12500,5183533,403
564376,12500,5185927,402
576876,12500,5191845,402
589380,12504,5194712,402
601880,12500,5197471,400
614380,12500,5200506,399
626884,12504,5203697,400
639384,12500,5206901,400
651884,12500,5209657,398
664384,12500,5212574,397
676884,12500,5215124,397
689388,12504,5217592,397
701892,12504,5219273,395
714392,12500,5221180,394
726892,12500,5222417,395
739392,12500,5223247,395
751892,12500,5224061,393
764392,12500,5225548,392
776892,12500,5226659,392
789392,12500,5227965,392
801896,12504,5228960,390
814396,12500,5227785,389
826896,12500,5226858,390
839396,12500,5226217,390
851896,12500,5225116,388
864396,12500,5223247,387
876896,12500,5221513,388
889396,12500,5220154,388
901900,12504,5219309,386
914404,12504,5218984,385
926904,12500,5220235,385
939404,12500,5221783,386
951904,12500,5223589,384
964404,12500,5223963,382
976904,12500,5223557,383
989408,12504,5223878,383
1001912,12504,5224787,381
1014412,12500,5225188,380
1026912,12500,5224820,381
1039412,12500,5224261,381
1051912,12500,5223021,379
1064412,12500,5222981,378
1076916,12504,5223085,378
1089416,12500,5223204,379
1101916,12500,5224012,377
1114416,12500,5225265,376
1126916,12500,5226860,376
1139416,12500,5227395,377
1151916,12500,5226965,375
1164416,12500,5230326,374
1176916,12500,5231792,374
1189420,12504,5232230,375
1201924,12504,5232262,373
1214424,12500,5232446,372
1226924,12500,5233283,372
1239424,12500,5234834,373
1251928,12504,5236015,371
1264432,12504,5235833,370
1276936,12504,5235094,370
1289436,12500,5233928,371
1301936,12500,5233559,369
1314436,12500,5233788,368
1326936,12500,5234623,368
1339436,12500,5235369,369
1351936,12500,5236119,367
1364436,12500,5237807,366
1376940,12504,5239402,366
1389440,12500,5239988,367
1401940,12500,5240126,365
1414444,12504,5239930,364
1426944,12500,5238213,364
1439444,12500,5236048,365
1451944,12500,5234784,364
1464444,12500,5235328,362
1476944,12500,5237578,363
1489444,12500,5239676,363
1501944,12500,5241151,362
1514444,12500,5244185,360
1526944,12500,5247660,361
1539444,12500,5245412,361
1551944,12500,5243304,360
1564444,12500,5241397,359
1576944,12500,5240277,359
1589444,12500,5240781,360
1601944,12500,5243187,358
1614448,12504,5245395,357
1626948,12500,5247397,357
1639448,12500,5255498,358
1651948,12500,5254863,357
1664452,12504,5251956,355
1676952,12500,5248042,356
1689452,12500,5244476,356
1701952,12500,5242373,355
1714452,12500,5242301,354
1726952,12500,5244762,354
1739452,12500,5249320,355
1751956,12504,5254189,354
1764460,12504,5256579,352
1776964,12504,5253788,352
1789464,12500,5248953,353
1801964,12500,5243720,352
1814464,12500,5239785,351
1826964,12500,5239056,351
1839464,12500,5242689,352
1851964,12500,5248561,351
1864464,12500,5253653,349
1876968,12504,5257891,349
1889468,12500,5254647,350
1901968,12500,5249781,349
1914468,12500,5244825,348
1926968,12500,5240179,348
1939468,12500,5239010,349
1951968,12500,5242740,348
1964472,12504,5249843,346
1976972,12500,5256713,347
1989472,12500,5260143,347
2001976,12504,5252455,346
2014476,12500,5244894,345
2026976,12500,5238922,345
2039476,12500,5237143,346
2051976,12500,5239577,345
2064476,12500,5245205,344
2076980,12504,5251338,344
2089480,12500,5255277,345
2101984,12504,5256900,344
2114484,12500,5255891,342
2126984,12500,5246824,342
2139484,12500,5242768,343
2151984,12500,5241962,342
2164488,12504,5245070,341
2176988,12500,5250358,341
2189488,12500,5255983,342
2201992,12504,5259878,341
2214496,12504,5260365,340
2226996,12500,5257219,340
2239500,12504,5248743,341
2252004,12504,5245834,340
2264508,12504,5245765,338
2277012,12504,5249003,339
2289516,12504,5253778,340
2302016,12500,5258211,339
2314520,12504,5260810,337
2327024,12504,5260777,338
2339524,12500,5257815,338
2352024,12500,5252763,338
2364524,12500,5243308,336
2377028,12504,5242178,336
2389528,12500,5243692,337
2402028,12500,5246655,336
2414528,12500,5249751,335
2427032,12504,5252153,335
2439532,12500,5253897,336
2452036,12504,5253876,335
2464540,12504,5251894,334
2477044,12504,5246162,334
2489544,12500,5244144,335
2502044,12500,5244520,334
2514544,12500,5247458,333
2527044,12500,5251003,333
2539544,12500,5253868,334
2552044,12500,5255066,333
2564544,12500,5253737,332
2577044,12500,5251232,332
2589548,12504,5248645,333
2602048,12500,5245475,332
2614552,12504,5247106,331
2627056,12504,5250179,331
2639556,12500,5253574,332
2652056,12500,5256428,331
2664556,12500,5258103,330
2677060,12504,5258177,330
2689560,12500,5257418,331
2702064,12504,5256567,330
2714564,12500,5254440,329
2727064,12500,5253422,329
2739568,12504,5253812,330
2752068,12500,5255571,329
2764568,12500,5257588,328
2777072,12504,5258486,328
2789572,12500,5258142,329
2802072,12500,5256501,328
2814576,12504,5254713,327
2827076,12500,5252726,327
2839576,12500,5250787,328
2852076,12500,5251741,328
2864576,12500,5254267,326
2877080,12504,5257396,326
2889584,12504,5259658,327
2902084,12500,5260549,327
2914584,12500,5260354,325
2927084,12500,5258895,325
2939584,12500,5256650,326
2952084,12500,5255291,326
2964588,12504,5256472,324
2977092,12504,5258212,324
2989592,12500,5260098,325
3002096,12504,5261392,325
3014600,12504,5261725,324
3027100,12500,5260986,324
3039600,12500,5259252,325
3052100,12500,5257614,324
3064604,12504,5256560,323
3077104,12500,5256677,323
3089604,12500,5258059,324
3102104,12500,5259625,324
3114608,12504,5261068,322
3127108,12500,5261891,322
3139608,12500,5261694,323
3152108,12500,5260170,323
3164612,12504,5258165,321
3177112,12500,5257027,321
3189612,12500,5257408,322
3202112,12500,5259675,322
3214612,12500,5262549,321
3227112,12500,5264894,321
3239612,12500,5265869,322
3252116,12504,5265369,322
3264620,12504,5263841,320
3277120,12500,5261651,320
3289620,12500,5259517,321
3302120,12500,5258222,321
3314620,12500,5259433,320
3327124,12504,5261463,320
3339624,12500,5262988,321
3352124,12500,5263969,321
3364624,12500,5263484,319
3377128,12504,5261240,319
3389628,12500,5258474,320
3402128,12500,5256122,320
3414628,12500,5255328,319
3427128,12500,5259236,318
3439628,12500,5262682,320
3452128,12500,5265111,320
3464632,12504,5265870,318
3477132,12500,5264967,318
3489632,12500,5263316,319
3502136,12504,5261254,319
3514636,12500,5259358,317
3527136,12500,5258600,317
3539636,12500,5259737,318
3552136,12500,5265928,318
3564636,12500,5267463,317
3577136,12500,5267151,317
3589636,12500,5266547,318
3602140,12504,5266594,318
3614640,12500,5267538,316
3627140,12500,5266721,316
3639640,12500,5265659,317
3652144,12504,5268245,317
3664648,12504,5276840,316
3677148,12500,5276276,315
3689648,12500,5273961,316
3702148,12500,5273821,317
3714652,12504,5274373,315
3727152,12500,5271997,315
3739652,12500,5268256,316
3752152,12500,5266992,316
3764652,12500,5268703,315
3777152,12500,5270590,314
3789652,12500,5274922,315
3802152,12500,5278055,315
3814656,12504,5278708,314
3827160,12504,5277021,314
3839660,12500,5273920,315
3852164,12504,5270265,315
3864664,12500,5267487,314
3877164,12500,5266621,313
3889664,12500,5267580,314
3902164,12500,5269729,315
3914664,12500,5275404,313
3927164,12500,5275563,313
3939664,12500,5272448,314
3952168,12504,5268001,314
3964672,12504,5265337,313
3977172,12500,5264184,312
3989672,12500,5264255,313
4002172,12500,5266549,314
4014672,12500,5270295,312
4027176,12504,5276592,312
4039680,12504,5276740,313
4052180,12500,5274790,313
4064684,12504,5271861,312
4077184,12500,5269039,312
4089684,12500,5266699,313
4102184,12500,5265675,313
4114684,12500,5267360,312
4127184,12500,5270880,311
4139688,12504,5274228,312
4152188,12500,5275214,313
4164692,12504,5272357,311
4177196,12504,5268589,311
4189700,12504,5265073,312
4202200,12500,5262304,312
4214700,12500,5261384,311
4227200,12500,5262868,310
4239700,12500,5265800,311
4252200,12500,5269038,312
4264700,12500,5272279,311
4277204,12504,5271031,310
4289708,12504,5267863,311
4302208,12500,5263958,311
4314708,12500,5261066,310
4327208,12500,5260631,310
4339708,12500,5262255,311
4352208,12500,5264754,311
4364712,12504,5267663,310
4377212,12500,5270561,309
4389712,12500,5271416,310
4402212,12500,5268353,311
4414712,12500,5264069,310
4427216,12504,5261243,309
4439720,12504,5259998,310
4452224,12504,5260171,310
4464724,12500,5262250,309
4477224,12500,5265175,309
4489724,12500,5267681,310
4502224,12500,5267347,310
4514724,12500,5263959,309
4527224,12500,5260164,308
4539724,12500,5257071,309
4552224,12500,5255057,310
4564728,12504,5254351,309
4577228,12500,5255082,308
4589732,12504,5257280,309
4602236,12504,5260146,309
4614736,12500,5261519,308
4627240,12504,5258665,308
4639748,12508,5255501,309
4652248,12500,5252464,309
4664748,12500,5250474,308
4677252,12504,5249619,307
4689752,12500,5251482,308
4702252,12500,5256255,309
4714752,12500,5261103,308
4727252,12500,5262747,307
4739752,12500,5262097,308
4752252,12500,5260703,309
4764752,12500,5256826,308
4777256,12504,5252804,307
4789760,12504,5251898,308
4802260,12500,5254514,309
4814764,12504,5258662,308
4827264,12500,5262513,307
