Times (us),interval (us),strain (raw),sensorValue0 (raw)
2814620,12500,4437834,321
2827124,12504,4434961,320
2839624,12500,4430894,321
2852124,12500,4422971,321
2864628,12504,4420802,320
2877128,12500,4420442,320
2889628,12500,4421925,320
2902132,12504,4425137,320
2914632,12500,4429352,320
2927132,12500,4433554,319
2939636,12504,4437049,319
2952140,12504,4439079,320
2964640,12500,4436968,319
2977140,12500,4433400,318
2989640,12500,4428973,318
3002140,12500,4424781,319
3014640,12500,4421775,318
3027140,12500,4420603,317
3039640,12500,4421290,317
3052140,12500,4423543,318
3064644,12504,4427124,317
3077148,12504,4431386,316
3089648,12500,4437625,317
3102148,12500,4438453,317
3114652,12504,4437538,317
3127152,12500,4435076,316
3139656,12504,4431432,316
3152160,12504,4427480,316
3164664,12504,4424393,316
3177164,12500,4422157,315
3189664,12500,4421331,315
3202164,12500,4422298,316
3214664,12500,4428315,315
3227164,12500,4431999,314
3239668,12504,4435212,314
3252168,12500,4437300,315
3264672,12504,4437965,315
3277176,12504,4437021,314
3289680,12504,4434447,314
3302180,12500,4430788,314
3314680,12500,4426971,314
3327180,12500,4422055,313
3339680,12500,4421650,313
3352180,12500,4422921,314
3364680,12500,4425679,313
3377180,12500,4429352,312
3389680,12500,4432987,312
3402180,12500,4435972,313
3414680,12500,4437801,313
3427180,12500,4437724,312
3439684,12504,4435949,312
3452184,12500,4429407,312
3464684,12500,4425715,312
3477184,12500,4422938,311
3489684,12500,4421610,311
3502184,12500,4422065,312
3514684,12500,4423946,312
3527184,12500,4427019,311
3539684,12500,4430756,311
3552184,12500,4434130,312
3564684,12500,4437651,311
3577184,12500,4437121,310
3589684,12500,4434932,310
3602188,12504,4431771,311
3614688,12500,4428021,311
3627192,12504,4424589,310
3639692,12500,4422248,310
3652196,12504,4421604,310
3664700,12504,4422250,310
3677200,12500,4424693,309
3689700,12500,4431973,309
3702200,12500,4435194,310
3714700,12500,4437269,310
3727200,12500,4437689,309
3739700,12500,4436250,309
