Times (us),interval (us),strain (raw),sensorValue0 (raw)
2804428,12500,4077834,326
2816928,12500,4045713,326
2829428,12500,4033995,326
2841932,12504,4073193,325
2854432,12500,4040559,325
2866936,12504,4038826,325
2879436,12500,4070536,325
2891936,12500,4067856,324
2904440,12504,4037608,324
2916940,12500,4044431,324
2929444,12504,4072917,324
2941944,12500,4062077,323
2954444,12500,4050147,323
2966944,12500,4073399,324
2979448,12504,4056382,323
2991952,12504,4036016,322
3004452,12500,4055287,322
3016952,12500,4072033,323
3029452,12500,4051036,322
3041952,12500,4037636,322
3054452,12500,4059667,322
3066956,12504,4069402,322
3079456,12500,4040614,322
3091956,12500,4063240,321
3104456,12500,4065966,321
3116956,12500,4043767,321
3129456,12500,4044214,321
3141956,12500,4065381,320
3154456,12500,4061920,320
3166956,12500,4041948,321
3179460,12504,4048200,320
3191960,12500,4057889,320
3204464,12504,4041345,320
3216968,12504,4052222,320
3229468,12500,4066597,320
3241968,12500,4053891,319
3254472,12504,4041801,319
3266972,12500,4055987,320
3279472,12500,4065579,319
3291972,12500,4050475,318
3304472,12500,4043664,318
3316972,12500,4063625,319
3329472,12500,4047666,318
3341972,12500,4046027,318
3354476,12504,4061499,318
3366976,12500,4060607,318
3379476,12500,4045790,318
3391976,12500,4048857,317
3404476,12500,4062829,317
3416976,12500,4057753,318
3429476,12500,4044956,317
3441980,12504,4063223,317
3454480,12500,4054659,317
3466980,12500,4044962,317
3479480,12500,4054550,317
3491980,12500,4062502,316
3504484,12504,4052645,316
3516984,12500,4046358,317
3529484,12500,4056574,316
3541984,12500,4060980,316
3554484,12500,4048196,316
3566988,12504,4058438,316
3579488,12500,4059024,316
3591992,12504,4049242,315
3604492,12500,4050341,315
3616992,12500,4059487,316
3629496,12504,4057081,315
3641996,12500,4048837,315
3654496,12500,4052513,315
3666996,12500,4059629,315
3679500,12504,4048349,315
3692000,12500,4054155,314
3704500,12500,4059356,314
3717000,12500,4053058,315
3729500,12500,4049096,315
3742000,12500,4055838,314
3754504,12504,4058610,314
3767004,12500,4051652,314
3779504,12500,4049641,314
3792004,12500,4056647,313
3804508,12504,4050647,313
3817008,12500,4050958,314
3829512,12504,4057544,314
3842012,12500,4056346,313
3854512,12500,4050125,313
3867012,12500,4052360,313
3879512,12500,4058013,313
3892012,12500,4055057,312
3904516,12504,4049952,312
3917016,12500,4057647,313
3929516,12500,4053643,313
3942016,12500,4050246,312
3954516,12500,4054764,312
3967016,12500,4057236,312
3979520,12504,4052359,312
3992024,12504,4050599,312
4004524,12500,4055714,312
4017024,12500,4056547,312
4029524,12500,4051342,312
4042024,12500,4056440,311
4054528,12504,4055727,311
4067028,12500,4050823,312
4079528,12500,4052222,312
4092028,12500,4056902,311
4104528,12500,4054566,311
4117028,12500,4050151,311
4129528,12500,4053038,311
4142032,12504,4056946,311
4154536,12504,4050566,310
4167036,12500,4054225,311
4179536,12500,4056708,311
4192036,12500,4052615,310
4204540,12504,4050626,310
4217040,12500,4054636,311
4229540,12500,4055996,310
4242040,12500,4052003,310
4254540,12500,4051404,310
4267044,12504,4055412,310
4279544,12500,4051358,310
4292044,12500,4052009,309
4304544,12500,4055646,309
4317044,12500,4054472,310
4329544,12500,4051088,310
4342044,12500,4052766,309
4354544,12500,4055726,309
4367044,12500,4053668,310
4379544,12500,4050953,310
4392044,12500,4053398,309
4404544,12500,4052887,309
4417044,12500,4051035,309
4429544,12500,4054124,309
4442044,12500,4055394,309
4454544,12500,4052111,308
4467048,12504,4051395,309
4479548,12500,4054798,309
4492048,12500,4054893,308
4504548,12500,4051587,308
4517048,12500,4055036,309
4529548,12500,4054381,309
4542048,12500,4051294,308
4554548,12500,4052277,308
4567048,12500,4055134,308
4579548,12500,4053838,309
4592052,12504,4051149,308
4604552,12500,4052795,308
4617052,12500,4055273,308
4629552,12500,4053367,308
4642052,12500,4053456,308
4654556,12504,4055166,307
4667060,12504,4052748,308
4679564,12504,4051308,308
4692064,12500,4053967,307
4704564,12500,4055064,307
4717068,12504,4052328,308
4729568,12500,4051522,308
4742068,12500,4054385,307
4754568,12500,4054786,307
4767068,12500,4051953,307
4779568,12500,4054951,307
4792068,12500,4053899,307
4804568,12500,4050923,307
4817068,12500,4052477,307
4829568,12500,4055358,307
4842068,12500,4053509,307
4854568,12500,4050866,306
4867068,12500,4052984,307
4879568,12500,4052763,307
4892072,12504,4050769,306
4904572,12500,4053392,306
4917072,12500,4055071,307
4929572,12500,4052163,307
4942076,12504,4050942,306
4954580,12504,4053890,306
4967080,12500,4054585,306
4979584,12504,4051389,307
4992084,12500,4051206,306
5004584,12500,4054107,306
5017084,12500,4050992,306
5029588,12504,4051820,306
5042088,12500,4054717,306
5054588,12500,4053526,306
5067088,12500,4050959,306
5079592,12504,4052733,306
5092092,12500,4054994,306
5104596,12504,4052871,305
5117100,12504,4053364,306
5129600,12500,4055031,306
5142104,12504,4052455,305
5154604,12500,4051474,305
5167108,12504,4054143,306
5179608,12500,4054516,306
5192112,12504,4051780,305
5204612,12500,4051627,305
5217112,12500,4054447,305
5229612,12500,4054268,306
5242112,12500,4052221,305
5254612,12500,4054718,305
5267112,12500,4053596,305
5279612,12500,4051500,306
5292112,12500,4052841,305
5304612,12500,4054779,305
5317112,12500,4053224,305
5329612,12500,4051564,306
5342112,12500,4053398,305
