Times (us),interval (us),strain (raw),sensorValue0 (raw)
2254332,12504,4570126,331
2266832,12500,4570669,330
2279332,12500,4572300,330
2291836,12504,4574270,330
2304336,12500,4575281,329
2316836,12500,4574770,329
2329336,12500,4573250,329
2341836,12500,4571441,329
2354336,12500,4570803,328
2366836,12500,4572391,328
2379336,12500,4574049,328
2391836,12500,4575040,328
2404336,12500,4574694,327
2416836,12500,4573240,327
2429336,12500,4571495,327
2441836,12500,4570505,327
2454336,12500,4570991,326
2466840,12504,4573904,326
2479340,12500,4574876,326
2491840,12500,4574481,326
2504340,12500,4572955,325
2516840,12500,4571364,325
2529340,12500,4570480,325
2541840,12500,4570978,325
2554344,12504,4572433,324
2566848,12504,4573940,324
2579352,12504,4574742,324
2591856,12504,4572897,324
2604356,12500,4571124,323
2616856,12500,4570204,323
2629356,12500,4570855,323
2641860,12504,4572478,323
2654364,12504,4574206,323
2666864,12500,4574909,322
2679364,12500,4574121,322
2691864,12500,4572359,322
2704364,12500,4570291,322
2716864,12500,4571226,321
2729368,12504,4572989,321
2741872,12504,4574674,321
2754376,12504,4574975,321
2766876,12500,4573842,320
2779376,12500,4572132,320
2791880,12504,4570609,320
2804380,12500,4570041,320
2816884,12504,4571118,319
2829388,12504,4574902,319
2841892,12504,4575145,320
2854392,12500,4573872,319
2866892,12500,4571875,318
2879396,12504,4570499,318
2891896,12500,4570226,319
2904400,12504,4571398,318
2916900,12500,4573298,318
2929404,12504,4574710,318
2941904,12500,4574806,318
2954404,12500,4571811,318
2966904,12500,4570495,317
2979404,12500,4570456,317
2991904,12500,4571731,317
3004404,12500,4573493,317
3016908,12504,4574621,316
3029408,12500,4574555,316
3041908,12500,4573263,316
3054412,12504,4571570,316
3066912,12500,4570743,315
3079412,12500,4571959,315
3091912,12500,4573513,316
3104412,12500,4574520,315
3116912,12500,4574292,315
3129412,12500,4573017,315
3141916,12504,4571553,315
3154416,12500,4570387,315
3166916,12500,4570669,314
3179416,12500,4572043,314
3191916,12500,4574690,314
3204416,12500,4574377,314
3216916,12500,4572900,313
3229416,12500,4571048,313
3241916,12500,4570175,314
3254416,12500,4570647,313
3266916,12500,4572221,313
3279420,12504,4573860,313
3291924,12504,4574817,313
3304428,12504,4572746,313
3316928,12500,4571028,312
3329428,12500,4570212,312
3341928,12500,4570914,312
3354428,12500,4572543,312
3366928,12500,4573900,311
3379432,12504,4574538,311
3391936,12504,4574089,312
3404436,12500,4572502,312
3416940,12504,4571168,311
3429444,12504,4571144,311
3441944,12500,4572510,311
3454448,12504,4573947,311
3466948,12500,4574492,310
3479448,12500,4573935,310
3491948,12500,4572382,310
3504448,12500,4570948,310
3516948,12500,4570259,310
3529452,12504,4571172,310
3541952,12500,4572668,310
3554452,12500,4574503,310
3566952,12500,4573624,309
3579456,12504,4572101,309
3591960,12504,4570690,309
3604460,12500,4570267,309
3616960,12500,4571261,309
3629464,12504,4572897,309
3641964,12500,4574259,309
3654468,12504,4574479,309
3666972,12504,4571585,308
3679476,12504,4570156,308
3691976,12500,4570227,308
3704476,12500,4571396,308
3716976,12500,4573108,308
3729476,12500,4574625,308
3741980,12504,4574705,308
3754480,12500,4573448,308
3766980,12500,4571534,307
3779480,12500,4570034,307
3791980,12500,4571781,308
3804484,12504,4573723,308
3816984,12500,4575025,307
3829484,12500,4574896,307
3841984,12500,4573411,307
3854488,12504,4571180,307
3866988,12500,4569624,307
3879488,12500,4569863,306
3891988,12500,4571667,307
3904492,12504,4575351,307
3916996,12504,4574921,306
3929500,12504,4573018,306
3942000,12500,4570828,306
3954504,12504,4569537,306
3967004,12500,4570011,306
3979504,12500,4572014,306
3992004,12500,4574239,306
4004504,12500,4575300,306
4017008,12504,4574750,305
4029508,12500,4570463,305
4042008,12500,4569356,306
4054508,12500,4570026,306
4067008,12500,4572130,305
4079508,12500,4574314,305
4092008,12500,4575386,305
4104508,12500,4574668,305
4117008,12500,4572642,305
4129508,12500,4570595,305
4142012,12504,4569586,305
4154512,12500,4572210,305
4167016,12504,4574444,304
4179516,12500,4575130,304
4192016,12500,4574248,305
4204516,12500,4572247,305
4217016,12500,4570268,304
4229516,12500,4569622,304
4242016,12500,4570613,304
4254516,12500,4572458,304
4267020,12504,4574785,304
4279520,12500,4573713,304
4292020,12500,4571805,304
4304520,12500,4570115,304
4317024,12504,4569694,304
4329524,12500,4570856,303
4342024,12500,4572817,304
4354524,12500,4574350,304
4367024,12500,4574675,303
4379528,12504,4573453,303
4392028,12500,4570273,304
4404528,12500,4570101,304
4417028,12500,4571105,303
4429528,12500,4572810,303
4442028,12500,4574031,303
4454528,12500,4574109,304
4467028,12500,4573122,303
4479532,12504,4571498,303
4492032,12500,4570125,303
4504532,12500,4571424,303
4517036,12504,4573373,303
4529540,12504,4574551,302
4542040,12500,4574295,303
4554540,12500,4572763,303
4567048,12508,4570792,302
4579552,12504,4569448,302
4592052,12500,4569796,302
4604552,12500,4571538,303
4617056,12504,4573667,302
4629556,12500,4574786,302
4642056,12500,4572810,302
4654556,12500,4570539,302
4667056,12500,4569020,302
4679556,12500,4569232,302
4692060,12504,4571149,302
4704564,12504,4573728,302
4717064,12500,4575316,302
4729564,12500,4574984,301
4742064,12500,4572932,302
4754564,12500,4568844,302
4767068,12504,4569231,301
4779568,12500,4571287,301
4792068,12500,4573656,302
4804568,12500,4575267,302
4817072,12504,4575015,301
4829572,12500,4573035,301
4842072,12500,4570389,301
4854576,12504,4568732,302
4867080,12504,4571185,301
4879580,12500,4573790,301
4892084,12504,4575337,301
4904588,12504,4575079,301
4917088,12500,4572929,301
4929588,12500,4570160,301
4942092,12504,4568757,301
4954592,12500,4569219,301
4967092,12500,4571310,301
4979592,12500,4573877,300
4992092,12500,4574550,301
5004596,12504,4572471,301
5017100,12504,4570095,301
5029600,12500,4568806,300
5042100,12500,4569590,301
5054600,12500,4571723,301
