Times (us),interval (us),strain (raw),sensorValue0 (raw)
66620,66620,4507124,431
79124,12504,4506864,429
91624,12500,4507018,428
104124,12500,4507100,427
116624,12500,4506960,426
129124,12500,4506787,425
141624,12500,4506716,424
154124,12500,4506945,423
166628,12504,4507046,422
179132,12504,4506874,422
191632,12500,4507133,421
204132,12500,4507075,420
216632,12500,4506896,419
229132,12500,4506932,418
241632,12500,4507225,418
254132,12500,4507022,416
266632,12500,4506856,416
279132,12500,4507094,415
291632,12500,4507356,414
304132,12500,4507019,413
316632,12500,4507153,412
329132,12500,4507128,412
341632,12500,4506722,411
354132,12500,4506702,410
366632,12500,4507327,409
379136,12504,4508323,409
391636,12500,4509365,408
404136,12500,4510205,407
416636,12500,4511055,406
429140,12504,4514665,406
441644,12504,4516420,405
454144,12500,4517886,404
466644,12500,4520362,403
479148,12504,4524368,403
491648,12500,4527700,402
504148,12500,4529354,401
516652,12504,4529721,400
529152,12500,4529311,400
541652,12500,4529110,399
554156,12504,4529358,398
566656,12500,4529140,397
579156,12500,4529067,397
591656,12500,4530121,396
604164,12508,4532576,395
616664,12500,4536195,394
629164,12500,4540316,394
641664,12500,4544523,393
654164,12500,4548977,392
666664,12500,4558965,391
679168,12504,4564467,391
691668,12500,4569817,391
704172,12504,4574373,389
716672,12500,4577507,389
729172,12500,4579461,389
741672,12500,4580981,388
754176,12504,4582114,387
766676,12500,4583500,386
779180,12504,4584710,386
791680,12500,4586574,385
804180,12500,4587265,384
816680,12500,4587880,383
829180,12500,4588971,383
841684,12504,4590875,383
854184,12500,4593096,382
866684,12500,4594626,381
879184,12500,4595140,381
891684,12500,4594662,380
904184,12500,4593493,379
916688,12504,4587181,378
929188,12500,4583513,378
941688,12500,4580644,378
954188,12500,4578952,377
966688,12500,4578474,376
979188,12500,4578447,376
991688,12500,4578579,375
1004192,12504,4579018,374
1016696,12504,4579604,374
1029196,12500,4580153,374
1041696,12500,4579797,373
1054196,12500,4579150,372
1066700,12504,4579072,371
1079204,12504,4579665,371
1091708,12504,4580021,371
1104212,12504,4580080,370
1116716,12504,4580620,369
1129216,12500,4581254,369
1141716,12500,4581294,369
1154220,12504,4579320,368
1166720,12500,4578200,367
1179224,12504,4578310,367
1191724,12500,4579468,366
1204232,12508,4580588,365
1216732,12500,4580949,365
1229236,12504,4580916,365
1241740,12504,4580811,364
1254244,12504,4579816,363
1266744,12500,4573772,363
1279244,12500,4571544,363
1291748,12504,4571912,362
1304248,12500,4573638,361
1316748,12500,4575177,361
1329248,12500,4575520,361
1341748,12500,4574457,360
1354252,12504,4572669,359
1366752,12500,4571035,359
1379252,12500,4570834,359
1391752,12500,4574146,358
1404252,12500,4575540,357
1416752,12500,4575393,357
1429252,12500,4573931,357
1441752,12500,4572010,356
1454252,12500,4570769,356
1466752,12500,4571107,355
1479252,12500,4572867,355
1491756,12504,4574755,355
1504264,12508,4575299,354
1516764,12500,4573350,353
1529264,12500,4571484,353
1541764,12500,4570703,353
1554264,12500,4571162,352
1566764,12500,4573050,351
1579264,12500,4575175,351
1591764,12500,4575950,351
1604264,12500,4574988,350
1616764,12500,4573016,349
1629264,12500,4570160,349
1641764,12500,4571053,349
1654264,12500,4573315,348
1666764,12500,4575209,347
1679268,12504,4575952,347
1691768,12500,4574897,347
1704272,12504,4572971,346
1716776,12504,4571019,346
1729276,12500,4570261,346
1741776,12500,4571302,346
1754280,12504,4575316,345
1766780,12500,4575984,344
1779280,12500,4574850,344
1791780,12500,4572674,344
1804280,12500,4570775,343
1816784,12504,4570281,342
1829288,12504,4571523,342
1841788,12500,4573618,342
1854292,12504,4575291,341
1866792,12500,4574565,341
1879292,12500,4572367,341
1891792,12500,4570678,341
1904296,12504,4570511,340
1916796,12500,4571809,339
1929296,12500,4574073,339
1941796,12500,4575675,339
1954296,12500,4575511,338
1966796,12500,4574064,338
1979296,12500,4572055,338
1991796,12500,4570673,338
2004296,12500,4572132,337
2016796,12500,4573985,336
2029300,12504,4575307,336
2041800,12500,4575243,336
2054300,12500,4573755,336
2066800,12500,4571831,335
2079304,12504,4570709,335
2091804,12500,4570753,335
2104308,12504,4574000,334
2116812,12504,4575292,334
2129312,12500,4575054,334
2141812,12500,4573519,334
2154312,12500,4571556,333
2166816,12504,4570414,332
2179316,12500,4570693,332
2191820,12504,4572308,332
2204324,12504,4574188,332
2216824,12500,4575352,331
2229328,12504,4573146,331
2241828,12500,4571044,331
