Times (us),interval (us),strain (raw),sensorValue0 (raw)
2804336,12500,4518374,320
2816836,12500,4520579,320
2829336,12500,4521438,320
2841836,12500,4519234,319
2854340,12504,4517873,320
2866840,12500,4519030,320
2879344,12504,4521379,319
2891844,12500,4522268,319
2904344,12500,4520693,319
2916844,12500,4518380,319
2929344,12500,4518034,318
2941848,12504,4521943,318
2954348,12500,4521840,318
2966848,12500,4519975,318
2979348,12500,4518133,317
2991848,12500,4518605,317
3004348,12500,4520863,317
3016852,12504,4522253,317
3029352,12500,4521310,317
3041852,12500,4519012,316
3054352,12500,4517864,317
3066852,12500,4521675,317
3079352,12500,4522357,316
3091856,12504,4520535,316
3104356,12500,4518276,316
3116856,12500,4518122,316
3129356,12500,4520173,315
3141856,12500,4522101,315
3154360,12504,4521752,315
3166860,12500,4519584,315
3179360,12500,4517956,315
3191860,12500,4521036,314
3204364,12504,4522225,315
3216864,12500,4521042,315
3229364,12500,4518902,314
3241864,12500,4517906,314
3254368,12504,4519366,314
3266872,12504,4521723,314
3279372,12500,4522212,313
3291876,12504,4520357,313
3304376,12500,4518171,313
3316876,12500,4520469,313
3329376,12500,4522168,313
3341876,12500,4521544,312
3354376,12500,4519473,313
3366876,12500,4518116,313
3379380,12504,4518707,312
3391884,12504,4520850,312
3404384,12500,4521975,312
3416888,12504,4520991,312
3429392,12504,4518046,312
3441892,12500,4519542,311
3454392,12500,4521682,312
3466892,12500,4522077,312
3479392,12500,4520231,311
3491892,12500,4518371,311
3504396,12504,4518681,311
3516896,12500,4520337,311
3529396,12500,4521687,311
3541896,12500,4519569,310
3554396,12500,4518876,311
3566896,12500,4519817,311
3579400,12504,4520860,310
3591900,12500,4520914,310
3604400,12500,4520277,310
3616904,12504,4519767,310
3629404,12500,4519438,310
3641904,12500,4519768,309
3654408,12504,4520642,309
3666908,12500,4520657,310
3679412,12504,4519384,309
3691912,12500,4518992,309
3704416,12504,4520211,309
3716916,12500,4521102,309
3729420,12504,4520794,309
3741924,12504,4519897,308
3754424,12500,4519568,309
3766924,12500,4519987,309
3779424,12500,4520707,308
3791924,12500,4520395,308
3804428,12504,4519575,308
3816928,12500,4519210,308
3829428,12500,4519941,308
3841932,12504,4520910,307
3854436,12504,4520891,308
3866936,12500,4520137,308
3879436,12500,4519397,308
3891936,12500,4519712,307
3904436,12500,4520821,307
3916940,12504,4520571,308
3929440,12500,4519886,307
3941940,12500,4519556,307
3954440,12500,4519747,307
3966940,12500,4520554,307
3979440,12500,4521022,307
3991940,12500,4520605,306
4004440,12500,4519809,307
4016940,12500,4519565,307
4029440,12500,4520762,306
4041940,12500,4520739,306
4054444,12504,4520274,306
4066944,12500,4519839,306
4079444,12500,4519812,306
4091948,12504,4520336,305
4104448,12500,4520762,306
4116948,12500,4520588,306
4129452,12504,4519967,306
4141952,12500,4519982,305
4154452,12500,4520771,305
4166952,12500,4521115,306
4179452,12500,4520513,305
4191952,12500,4519782,305
4204452,12500,4519717,305
4216952,12500,4520207,305
4229456,12504,4520651,305
4241956,12500,4520680,304
4254456,12500,4520191,305
4266956,12500,4519852,305
4279460,12504,4520349,305
4291964,12504,4520815,304
4304468,12504,4520479,304
4316968,12500,4519928,305
4329476,12508,4519725,304
4341980,12504,4519979,304
4354480,12500,4520797,304
4366980,12500,4520954,305
4379484,12504,4519690,304
4391988,12504,4519777,304
4404492,12504,4520382,304
4416992,12500,4520956,304
4429496,12504,4520732,304
4441996,12500,4520064,303
4454496,12500,4519608,304
4466996,12500,4519722,304
4479496,12500,4520478,304
4491996,12500,4520849,303
4504500,12504,4519956,303
4517000,12500,4519671,304
4529500,12500,4519952,304
4542000,12500,4520682,303
4554500,12500,4520774,303
4567000,12500,4520177,304
4579504,12504,4519663,303
4592004,12500,4519628,303
4604508,12504,4520259,303
4617012,12504,4520804,304
4629512,12500,4519836,303
4642012,12500,4519334,303
4654516,12504,4519782,303
4667016,12500,4520569,303
4679516,12500,4520978,303
4692020,12504,4520377,302
4704520,12500,4519731,303
4717024,12504,4519676,303
4729524,12500,4520034,303
4742024,12500,4520892,302
4754524,12500,4520139,302
4767024,12500,4519470,303
4779524,12500,4519782,303
4792028,12504,4520505,302
4804528,12500,4521024,302
4817032,12504,4520433,303
4829536,12504,4519612,302
4842040,12504,4519391,302
4854540,12500,4520135,302
4867040,12500,4521114,302
4879540,12500,4520458,302
4892044,12504,4519484,302
4904544,12500,4519363,302
4917044,12500,4520158,302
4929544,12500,4521048,302
4942044,12500,4520952,301
4954544,12500,4520113,301
4967044,12500,4519340,302
4979544,12500,4520412,302
4992044,12500,4521048,301
5004544,12500,4520786,301
5017044,12500,4519884,302
5029544,12500,4519343,302
5042044,12500,4519780,301
5054544,12500,4520751,301
